Designator,Mid X,Mid Y,Rotation,Layer
BUZZER1,27.639626,-7.402273,90.0,bottom
C1,2.214642,-2.202273,0.0,bottom
C10,5.439627,9.417728,90.0,bottom
C12,5.539642,20.495545,270.0,bottom
C13,-1.460358,20.397727,270.0,bottom
C15,-4.430374,17.987727,0.0,bottom
C16,-4.540374,10.895545,0.0,bottom
C17,-2.970874,9.417727,270.0,bottom
C18,-1.970874,9.417727,270.0,bottom
C19,-14.160358,3.280545,180.0,bottom
C2,7.046228,18.604642,270.0,bottom
C22,17.439626,5.597727,180.0,bottom
C24,20.557494,5.508507,0.0,bottom
C25,16.557493,-2.036354,0.0,bottom
C26,16.557493,-3.036354,0.0,bottom
C27,16.432742,-15.479508,0.0,bottom
C28,21.722705,-15.391492,180.0,bottom
C29,12.703294,-22.630903,315.0,bottom
C3,4.239626,7.106235,0.0,bottom
C30,11.97745,-24.026378,225.0,bottom
C31,9.856131,-26.147698,225.0,bottom
C32,2.481088,0.543838,90.0,bottom
C33,-5.6,1.795545,270.0,bottom
C34,7.25,-7.5,90.0,bottom
C35,3.25,-7.5,270.0,bottom
C37,-2.75,-7.5,270.0,bottom
C38,-0.75,-6.776802,270.0,bottom
C39,1.25,-7.5,270.0,bottom
C4,1.339626,7.106235,180.0,bottom
C40,5.25,-7.5,270.0,bottom
C41,9.5,-7.5,270.0,bottom
C42,-0.288623,27.454403,135.0,bottom
C43,-1.702836,26.040189,135.0,bottom
C44,6.639626,16.824642,180.0,bottom
C45,18.057493,-6.436353,270.0,bottom
C47,17.607494,-7.836353,0.0,bottom
C48,18.057493,-9.236353,270.0,bottom
C49,17.607494,-12.491493,0.0,bottom
C5,2.625566,23.141183,180.0,bottom
C50,20.045566,-3.606802,90.0,bottom
C51,19.057493,-3.636354,90.0,bottom
C53,13.832493,-2.836354,0.0,bottom
C54,-17.987999,-10.075999,90.0,bottom
C55,-16.636999,-9.475,90.0,bottom
C56,-14.554434,-10.076,270.0,bottom
C57,-9.860358,5.520545,270.0,bottom
C58,-4.640358,14.995545,0.0,bottom
C6,7.046228,20.504642,90.0,bottom
C60,10.639642,-13.284455,270.0,bottom
C61,12.045566,-13.324455,270.0,bottom
C62,-17.889547,-16.204455,90.0,bottom
C63,-15.860342,-16.484455,90.0,bottom
C64,-13.760358,-16.824455,90.0,bottom
C66,-20.660374,17.957626,270.0,bottom
C67,-21.650324,15.977727,270.0,bottom
C68,-15.365592,17.839772,270.0,bottom
C69,-22.160729,-16.824455,90.0,bottom
C7,2.625565,20.095598,180.0,bottom
C70,-19.960358,-16.484455,90.0,bottom
C72,4.039626,3.495545,90.0,bottom
C73,7.060544,13.924642,0.0,bottom
C74,6.639642,12.475545,270.0,bottom
C8,6.439626,9.417727,270.0,bottom
C9,-18.060358,3.280545,180.0,bottom
CN1,-0.004434,-14.006802,0.0,bottom
D3,-3.1,-1.604455,270.0,bottom
D4,6.638935,-2.503748,180.0,bottom
D5,-3.1,1.895545,270.0,bottom
D6,-21.610358,10.570308,0.0,bottom
D7,-20.510358,-9.5,0.0,bottom
D8,-5.600707,-1.604455,90.0,bottom
J1,-28.007519,-1.795103,90.0,bottom
J4,27.539626,1.557727,0.0,bottom
L1,-16.160358,-1.204455,0.0,bottom
L10,18.057493,-11.091492,270.0,bottom
L11,18.057494,-2.536354,270.0,bottom
L12,19.557494,-2.236354,0.0,bottom
L14,9.055544,13.924642,180.0,bottom
L2,2.161555,21.600545,270.0,bottom
L3,8.839642,11.097727,0.0,bottom
L5,17.452361,7.097727,180.0,bottom
L6,17.592493,-4.036353,180.0,bottom
L7,17.057493,-6.436354,270.0,bottom
L8,10.580914,-24.751163,315.0,bottom
L9,-9.0,-0.4,270.0,bottom
LED1,12.862624,21.954069,270.0,top
Q1,-21.760374,7.573198,90.0,bottom
Q2,-10.0,-7.5,90.0,bottom
Q3,5.139642,0.295545,180.0,bottom
R1,-29.027517,4.197727,180.0,bottom
R10,21.700465,-14.343943,0.0,bottom
R11,-7.0,-7.5,270.0,bottom
R12,-12.260374,-7.490001,270.0,bottom
R14,-21.650324,17.957625,90.0,bottom
R15,2.541902,3.935001,90.0,bottom
R16,-20.660374,15.977727,90.0,bottom
R17,8.945566,25.173198,315.0,bottom
R18,-16.929189,-16.204455,90.0,bottom
R19,10.642705,-15.291492,90.0,bottom
R2,-29.027517,5.297727,180.0,bottom
R21,12.142705,-15.291492,90.0,bottom
R22,-14.860358,-16.494455,90.0,bottom
R23,-21.100371,-16.852182,90.0,bottom
R25,-17.524001,-4.175,0.0,bottom
R26,-15.238,-4.175,180.0,bottom
R27,-12.821899,-16.852182,90.0,bottom
R28,-18.960358,-16.494455,90.0,bottom
R29,-0.454434,20.447727,270.0,bottom
R3,-4.560358,12.895545,0.0,bottom
R30,0.545566,20.447727,270.0,bottom
R31,14.342705,-20.991492,315.0,bottom
R32,18.303329,-17.091492,315.0,bottom
R34,-5.060358,5.185546,270.0,bottom
R35,-6.160358,5.185546,270.0,bottom
R39,0.739626,1.007726,270.0,bottom
R4,-4.560358,11.895545,0.0,bottom
R40,4.239642,-2.394456,90.0,bottom
R41,7.539642,-0.304455,270.0,bottom
R42,8.930545,16.824642,180.0,bottom
R43,8.930544,15.624642,180.0,bottom
R44,-16.660358,7.285546,270.0,bottom
R45,-15.360358,7.285546,270.0,bottom
R46,-14.160358,7.285546,90.0,bottom
R47,-12.960358,7.285546,270.0,bottom
R5,-25.460374,4.697727,0.0,bottom
R6,12.989624,21.94407,90.0,bottom
R7,11.889624,21.944069,270.0,bottom
R8,14.089627,21.944069,270.0,bottom
R9,16.432742,-14.379507,180.0,bottom
RF1,16.605912,-18.754091,45.0,bottom
RF3,6.305566,24.773198,90.0,bottom
SW1,27.439626,-16.202273,90.0,bottom
SW2,-25.860374,17.897727,111.0,bottom
SW4,-16.510374,-23.502273,315.0,top
SW6,14.5,-23.912812,45.0,top
SW8,22.5,-16.0,225.0,top
U1,-27.360374,-12.177273,0.0,bottom
U10,-16.235358,5.195545,270.0,bottom
